Time (s),Ax (m/s²),Ay (m/s²),Az (m/s²),Ωx (rad/s),Ωy (rad/s),Ωz (rad/s)
0.4300000071525574,0.9474068284034729,-0.16168664395809174,-7.385317802429199,-0.28844913840293884,0.4275837242603302,-0.06723707914352417
0.4399999976158142,0.7662012577056885,0.28759080171585083,-7.498652458190918,-0.28597694635391235,0.240862175822258,-0.12930040061473846
0.44999998807907104,0.5534180998802185,0.5223057866096497,-7.536862850189209,-0.2586262822151184,0.09972511231899261,-0.168731689453125
0.46000000834465027,0.6258176565170288,0.5831424593925476,-7.50927209854126,-0.2231890857219696,0.004835156723856926,-0.171200230717659
0.4699999988079071,0.7558045387268066,0.5680394768714905,-7.416572093963623,-0.15887203812599182,-0.0637454241514206,-0.1560976505279541
0.47999998927116394,0.7126550674438477,0.5227993130683899,-7.566213130950928,-0.06117856875061989,-0.10391218215227127,-0.15213631093502045
0.49000000953674316,0.6237658858299255,0.6785383820533752,-7.715856552124023,0.04245690256357193,-0.13847190141677856,-0.18089602887630463
0.5,0.4131264090538025,0.9835191369056702,-7.831075668334961,0.11545393615961075,-0.1738799512386322,-0.23972256481647491
0.5099999904632568,0.1346210241317749,1.3603181838989258,-8.05045223236084,0.15993519127368927,-0.23998470604419708,-0.29102692008018494
0.5199999809265137,0.010234630666673183,1.6554350852966309,-7.936413288116455,0.20588375627994537,-0.3552493155002594,-0.29076477885246277
0.5299999713897705,-0.03016386553645134,1.794028639793396,-7.618610858917236,0.2414155900478363,-0.4492836594581604,-0.23021608591079712
0.5400000214576721,-0.04680124297738075,1.8734161853790283,-7.529234409332275,0.31528645753860474,-0.4745480716228485,-0.15058527886867523
0.550000011920929,-0.06622574478387833,1.933050274848938,-7.4868855476379395,0.39312228560447693,-0.505801796913147,-0.07449345290660858
0.5600000023841858,-1.6286555528640747,1.393919825553894,-8.71044635772705,0.48088330030441284,-0.5739127397537231,-0.01440352387726307
0.5699999928474426,0.5647570490837097,0.8691178560256958,-9.021589279174805,0.5317835211753845,-0.556902289390564,0.05591742321848869
0.5799999833106995,0.4888842701911926,0.29960519075393677,-9.763855934143066,0.5489250421524048,-0.4639565944671631,-0.015903588384389877
0.5899999737739563,-0.17860354483127594,0.5213677883148193,-10.038979530334473,0.48414918780326843,-0.12628570199012756,-0.13615627586841583
0.6000000238418579,0.2962445616722107,1.209167718887329,-10.392973899841309,0.3666526973247528,0.3102000653743744,-0.17341028153896332
0.6100000143051147,0.7005544900894165,1.5100926160812378,-10.687173843383789,0.17228159308433533,0.6684131026268005,-0.18168611824512482
0.6200000047683716,0.8200232982635498,1.055088996887207,-14.016654014587402,-0.08717118203639984,0.9241957664489746,-0.16778139770030975
0.6299999952316284,1.859140396118164,1.4024109840393066,-10.40833568572998,-0.5223097801208496,0.670229971408844,-0.17686188220977783
0.6399999856948853,0.6003658175468445,0.8419057130813599,-10.154426574707031,-0.749332845211029,0.28831443190574646,-0.33974623680114746
0.6499999761581421,-0.6677385568618774,-2.4696784019470215,-4.994455337524414,-0.6991971731185913,-0.22971728444099426,-0.496604859828949
0.6600000262260437,-0.05521513149142265,-1.4272257089614868,-10.868189811706543,-0.07697656005620956,-0.9006244540214539,-0.535315215587616
0.6700000166893005,-1.354122281074524,-0.7565386891365051,-12.669963836669922,0.27971819043159485,-1.4305291175842285,-0.6176475882530212
0.6800000071525574,-1.1666333675384521,-0.7246071100234985,-12.800610542297363,0.2769802212715149,-1.243582010269165,-0.5767344832420349
0.6899999976158142,0.02863488905131817,-0.3645321726799011,-12.846734046936035,0.20189328491687775,-0.6191331148147583,-0.3564945161342621
0.699999988079071,1.1291311979293823,-0.6809454560279846,-12.923630714416504,0.08951229602098465,-0.0791720524430275,-0.20812655985355377
0.7099999785423279,1.2853314876556396,-0.5287525653839111,-11.795153617858887,-0.0983961671590805,0.10829585790634155,-0.13492563366889954
0.7200000286102295,1.0698137283325195,-0.30523160099983215,-10.869725227355957,-0.2743004858493805,0.044845350086688995,-0.10619140416383743
0.7300000190734863,0.9188200235366821,-0.4519141614437103,-10.324324607849121,-0.42351678013801575,-0.06646156311035156,-0.04823505878448486
0.7400000095367432,0.8086941838264465,-0.21941184997558594,-10.202686309814453,-0.5116382241249084,-0.15773242712020874,0.02041834406554699
0.75,0.7203499674797058,-0.2828075885772705,-10.11904525756836,-0.6426607966423035,-0.2335948646068573,0.013948408886790276
0.7599999904632568,0.6484363079071045,-0.459310382604599,-10.283380508422852,-0.7791447639465332,-0.3264932334423065,-0.056274235248565674
0.7699999809265137,0.6222820281982422,-0.5616351962089539,-10.212634086608887,-0.8828566670417786,-0.4170650243759155,-0.15561340749263763
0.7799999713897705,0.7717951536178589,-0.8598047494888306,-9.858019828796387,-0.9661684036254883,-0.44310498237609863,-0.19965411722660065
0.7900000214576721,1.1561816930770874,-0.9114247560501099,-9.709602355957031,-0.9182501435279846,-0.37822359800338745,-0.13683348894119263
0.800000011920929,1.3369933366775513,-0.8141331672668457,-9.63972282409668,-0.767806887626648,-0.24317781627178192,-0.07607361674308777
0.8100000023841858,1.1134097576141357,-0.717465877532959,-9.573415756225586,-0.6352624297142029,-0.02975733019411564,-0.07508692890405655
0.8199999928474426,0.7831505537033081,-0.7007777094841003,-9.411250114440918,-0.5634632706642151,0.19252152740955353,-0.01536473073065281
0.8299999833106995,0.3908064663410187,-0.6226940751075745,-9.2438383102417,-0.5275745987892151,0.3180244565010071,0.11967377364635468
0.8399999737739563,0.1921558827161789,-0.3254592716693878,-9.038538932800293,-0.49990713596343994,0.3305055499076843,0.3029072880744934
0.8500000238418579,0.10271850228309631,-0.022697720676660538,-8.880908012390137,-0.4595765471458435,0.27343758940696716,0.47419852018356323
0.8600000143051147,0.005802810657769442,0.16932962834835052,-8.746047973632812,-0.4051082134246826,0.19452403485774994,0.5894522070884705
0.8700000047683716,-0.08541060239076614,0.2831164598464966,-8.644882202148438,-0.36270594596862793,0.17495039105415344,0.6471791863441467
0.8799999952316284,-0.1961272954940796,0.4160132110118866,-8.540164947509766,-0.3483169972896576,0.20683038234710693,0.6656132340431213
0.8899999856948853,-0.3528134524822235,0.508539617061615,-8.41404914855957,-0.3732755482196808,0.2432032972574234,0.6537001132965088
0.8999999761581421,-0.41601449251174927,0.6023994088172913,-8.489251136779785,-0.40717262029647827,0.2749631404876709,0.6325463056564331
0.9100000262260437,-0.05061589553952217,1.0914065837860107,-8.789244651794434,-0.47720959782600403,0.27577871084213257,0.6039649844169617
0.9200000166893005,0.5760039687156677,1.1717159748077393,-8.903871536254883,-0.6039322018623352,0.24447761476039886,0.5974950790405273
0.9300000071525574,1.1963108777999878,0.3006150722503662,-8.647530555725098,-0.7862627506256104,0.2381897121667862,0.800025463104248
0.9399999976158142,1.195995807647705,0.7602989077568054,-8.116394996643066,-0.9157378673553467,0.08791028708219528,0.8547705411911011
0.949999988079071,0.9594712853431702,1.5255125761032104,-7.815456867218018,-0.9908576011657715,-0.020702335983514786,0.9224044680595398
0.9599999785423279,0.734656572341919,2.028325080871582,-8.20407485961914,-0.8899564743041992,-0.19754965603351593,0.9518523216247559
0.9700000286102295,0.1530606746673584,1.667171597480774,-8.18896484375,-0.5275564193725586,-0.4570206105709076,0.8999508619308472
0.9800000190734863,0.03480660915374756,1.6428879499435425,-8.725735664367676,-0.4480712115764618,-0.4376727044582367,0.8063644170761108
0.9900000095367432,-0.47332942485809326,0.907030463218689,-8.108111381530762,-0.45370009541511536,-0.4971873462200165,0.5614098310470581
1,-0.6219627857208252,0.03855075314640999,-7.725096225738525,-0.4969579875469208,-0.4695053696632385,0.31650254130363464
1.0099999904632568,-0.2540265619754791,0.4225335419178009,-7.807248115539551,-0.4762629270553589,-0.4060002565383911,0.1803790181875229
1.0199999809265137,-0.18781189620494843,1.3239644765853882,-7.971662521362305,-0.34589576721191406,-0.4518541395664215,0.12225154787302017
1.0299999713897705,-0.41157281398773193,1.6843140125274658,-7.8268656730651855,-0.3511241376399994,-0.48489561676979065,0.13896343111991882
1.0399999618530273,-0.5849193334579468,1.6361192464828491,-7.571861743927002,-0.5161493420600891,-0.44453221559524536,0.23397351801395416
1.0499999523162842,-0.6526178121566772,1.5709160566329956,-7.433871269226074,-0.7270612716674805,-0.35953468084335327,0.3321184813976288
1.059999942779541,-0.6104400753974915,1.6108813285827637,-7.522464275360107,-0.8959167003631592,-0.23058746755123138,0.4103693962097168
1.0700000524520874,-0.5108619928359985,1.658236026763916,-7.863024711608887,-1.0069504976272583,-0.05789080634713173,0.4629480540752411
1.0800000429153442,-0.2082901895046234,1.7801315784454346,-8.364527702331543,-1.0867451429367065,0.1048952266573906,0.4764486253261566
1.090000033378601,0.11495031416416168,1.8900913000106812,-8.68978214263916,-1.1283392906188965,0.15756858885288239,0.43963155150413513
1.100000023841858,0.3464488685131073,1.9713287353515625,-8.799463272094727,-1.1190803050994873,0.03283391892910004,0.3438167870044708
1.1100000143051147,0.44106656312942505,2.137951374053955,-8.71003246307373,-1.0384992361068726,-0.20175492763519287,0.24492910504341125
1.1200000047683716,0.43540698289871216,2.217639684677124,-8.622143745422363,-0.9046367406845093,-0.4379749000072479,0.1911088526248932
1.1299999952316284,0.407716304063797,2.4373433589935303,-8.491562843322754,-0.7509129643440247,-0.6135952472686768,0.1678360104560852
